encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,1,0.2343,0.5072,0.6376
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,2,0.2109,0.5565,0.6877
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,3,0.2033,0.5854,0.7142
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,4,0.2064,0.5854,0.7124
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,5,0.2117,0.5816,0.71
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,6,0.2053,0.588,0.7086
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,7,0.1998,0.5674,0.6941
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,8,0.195,0.5572,0.6845
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,9,0.1938,0.5981,0.7223
baseline,unet_baseline,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,10,0.1868,0.5669,0.694
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,1,0.232,0.5179,0.6541
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,2,0.202,0.5967,0.7199
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,3,0.207,0.5813,0.7056
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,4,0.204,0.5815,0.7055
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,5,0.1997,0.5753,0.6948
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,6,0.1979,0.5427,0.675
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,7,0.2005,0.5809,0.7057
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,8,0.1912,0.6141,0.732
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,9,0.1947,0.5738,0.7021
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,10,0.1895,0.608,0.7292
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,1,0.2287,0.4486,0.5918
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,2,0.2027,0.5621,0.6914
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,3,0.1907,0.6131,0.731
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,4,0.1947,0.5851,0.7104
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,5,0.1895,0.1691,0.2787
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,6,0.1977,0.6061,0.7273
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,7,0.1823,0.6027,0.7207
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,8,0.1802,0.5958,0.7192
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,9,0.1687,0.6214,0.7383
baseline,unet_baseline,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,10,0.1713,0.6195,0.7379
