encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,1,0.2968,0.4445,0.5874
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,2,0.2562,0.5394,0.6746
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,3,0.2459,0.5695,0.7001
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,4,0.2278,0.5818,0.7107
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,5,0.2128,0.5614,0.6924
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,6,0.2013,0.558,0.6896
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,7,0.1873,0.5989,0.7254
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,8,0.1827,0.6249,0.7451
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,9,0.1754,0.6222,0.7457
baseline,unet_baseline,96,adamw,8,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,10,0.1719,0.6248,0.7475
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,1,0.2694,0.4387,0.5817
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,2,0.2219,0.53,0.6656
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,3,0.2119,0.5585,0.6923
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,4,0.1934,0.5931,0.7211
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,5,0.1926,0.5784,0.7094
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,6,0.1851,0.569,0.7016
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,7,0.1783,0.6185,0.7417
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,8,0.1706,0.5812,0.7117
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,9,0.1632,0.6419,0.7609
baseline,unet_baseline,96,adamw,8,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,10,0.1563,0.6146,0.7401
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,1,0.2442,0.4983,0.6378
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,2,0.199,0.5899,0.7188
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,3,0.1933,0.5632,0.6958
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,4,0.1889,0.5603,0.6932
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,5,0.1805,0.5799,0.7099
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,6,0.1796,0.6065,0.7337
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,7,0.176,0.6286,0.7494
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,8,0.1671,0.6138,0.7375
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,9,0.1596,0.6517,0.7683
baseline,unet_baseline,96,adamw,8,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,10,0.1521,0.6307,0.7525
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,1,0.2507,0.4387,0.5816
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,2,0.2161,0.4908,0.6317
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,3,0.2039,0.5826,0.7108
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,4,0.201,0.6155,0.7384
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,5,0.1925,0.5964,0.7217
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,6,0.1933,0.61,0.7331
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,7,0.1888,0.5897,0.7184
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,8,0.1751,0.5986,0.7261
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,9,0.1733,0.6001,0.7256
baseline,unet_baseline,96,adamw,8,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,10,0.1672,0.5954,0.7223
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,1,0.2508,0.4388,0.5818
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,2,0.215,0.5412,0.6776
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,3,0.2085,0.5708,0.7019
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,4,0.2053,0.5775,0.7071
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,5,0.2071,0.6003,0.7252
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,6,0.195,0.5237,0.6632
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,7,0.1945,0.5891,0.7165
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,8,0.1822,0.597,0.7245
baseline,unet_baseline,96,adamw,8,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,9,0.1787,0.5647,0.6979
