encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,1,0.2212,0.5707,0.6988
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,2,0.198,0.6018,0.7262
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,3,0.1944,0.5855,0.7083
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,4,0.195,0.5815,0.7053
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,5,0.1982,0.5412,0.6732
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,6,0.2015,0.5668,0.697
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,7,0.1864,0.5215,0.6463
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,8,0.1912,0.3813,0.4724
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,9,0.1818,0.5933,0.7144
baseline,unet_baseline,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,10,0.1804,0.5865,0.7106
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,1,0.2279,0.5704,0.6964
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,2,0.2057,0.5759,0.7032
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,3,0.2025,0.5474,0.676
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,4,0.1934,0.5411,0.6728
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,5,0.2008,0.5713,0.6969
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,6,0.2004,0.5654,0.6932
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,7,0.1899,0.5861,0.7108
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,8,0.1921,0.5618,0.6896
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,9,0.1903,0.6209,0.7403
baseline,unet_baseline,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,10,0.187,0.5771,0.7035
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,1,0.2717,0.5416,0.6744
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,2,0.2342,0.5637,0.693
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,3,0.2299,0.5723,0.7004
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,4,0.2233,0.5718,0.699
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,5,0.2214,0.5732,0.7019
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,6,0.2117,0.5827,0.7096
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,7,0.211,0.5886,0.7134
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,8,0.2061,0.5827,0.7106
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,9,0.2044,0.5893,0.7153
baseline,unet_baseline,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,10,0.2017,0.5827,0.7098
