encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,1,0.2522,0.554,0.6899
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,2,0.2103,0.632,0.7566
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,3,0.1903,0.6178,0.7444
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,4,0.182,0.6523,0.7701
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,5,0.1678,0.6269,0.7534
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,6,0.1598,0.6872,0.7948
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,7,0.1603,0.7247,0.8236
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,8,0.1446,0.6971,0.8059
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,9,0.1309,0.6854,0.7998
efficientnet_b1,unet_efficientnet_b1,96,adam,2,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,2,10,0.123,0.7078,0.8171
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,1,0.2523,0.5612,0.6996
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,2,0.2101,0.6311,0.7564
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,3,0.1921,0.6865,0.7989
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,4,0.1727,0.6687,0.7874
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,5,0.1661,0.6483,0.7712
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,6,0.1559,0.6553,0.7743
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,7,0.1482,0.7173,0.8169
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,8,0.1323,0.7445,0.841
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,9,0.1256,0.7169,0.8187
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,4,10,0.1158,0.7378,0.8372
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,1,0.294,0.4448,0.5872
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,2,0.2463,0.5661,0.7044
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,3,0.2321,0.6658,0.783
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,4,0.2163,0.532,0.6701
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,5,0.2014,0.6771,0.7938
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,6,0.1877,0.665,0.781
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,7,0.177,0.7166,0.822
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,8,0.1607,0.7119,0.8172
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,9,0.1538,0.7268,0.8288
efficientnet_b1,unet_efficientnet_b1,96,adam,8,0.001,focal_dice,0.25,2.0,True,cosine,5,batch_size,8,10,0.1507,0.7266,0.8295
