encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,1,0.2964,0.5407,0.6738
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,2,0.2551,0.5454,0.6775
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,3,0.2464,0.571,0.7023
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,4,0.2336,0.6588,0.7774
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,5,0.2182,0.691,0.805
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,6,0.2036,0.7456,0.8423
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,7,0.1902,0.7237,0.8279
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,8,0.1801,0.7044,0.8154
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,9,0.1738,0.7203,0.826
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,10,0.1652,0.6927,0.8014
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,11,0.1566,0.6512,0.7625
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,12,0.1527,0.7002,0.8033
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,13,0.1464,0.7216,0.8258
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,14,0.1391,0.7514,0.8473
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,15,0.134,0.73,0.827
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,16,0.1333,0.7297,0.8313
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,17,0.1265,0.7086,0.8126
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,18,0.1216,0.7154,0.8132
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,19,0.1232,0.7219,0.8237
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,20,0.1169,0.6997,0.8051
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,21,0.1134,0.7396,0.8379
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,22,0.1101,0.6978,0.8024
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,23,0.1068,0.7169,0.8172
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,24,0.1061,0.7179,0.8198
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,25,0.1015,0.7193,0.8205
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,26,0.1013,0.7077,0.8132
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,27,0.099,0.7231,0.8254
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,28,0.0969,0.7233,0.8254
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,29,0.0979,0.7061,0.8108
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,30,0.0955,0.7219,0.8254
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,31,0.0952,0.695,0.8012
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,32,0.0924,0.7219,0.8235
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,33,0.0912,0.7104,0.8139
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,34,0.0928,0.7332,0.8335
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,35,0.0903,0.7195,0.8213
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,36,0.0883,0.726,0.827
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,37,0.0909,0.7208,0.8227
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,38,0.092,0.7209,0.8216
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,39,0.0906,0.7203,0.8222
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,40,40,0.0895,0.7163,0.8189
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,60,1,0.2918,0.5165,0.6538
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,60,2,0.2484,0.5473,0.6803
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,60,3,0.2401,0.5614,0.6947
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,60,4,0.2251,0.6215,0.7483
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,epochs,60,5,0.209,0.7051,0.8142
