encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,1,0.3546,0.2172,0.3497
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,2,0.3506,0.2671,0.4125
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,3,0.3494,0.284,0.4329
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,4,0.3456,0.3138,0.4664
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,5,0.3411,0.3954,0.547
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,6,0.3354,0.465,0.609
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,7,0.3277,0.4841,0.6263
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,8,0.3216,0.4922,0.6339
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,9,0.3175,0.4966,0.638
efficientnet_b1,unet_efficientnet_b1,96,adam,4,1e-05,focal_dice,0.25,2.0,True,cosine,5,lr,1e-05,10,0.3161,0.4998,0.6407
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,1,0.3368,0.3493,0.4965
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,2,0.3268,0.4576,0.6029
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,3,0.3214,0.4829,0.6262
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,4,0.3137,0.5025,0.6441
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,5,0.3009,0.5325,0.6711
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,6,0.2863,0.5536,0.6884
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,7,0.2734,0.5746,0.705
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,8,0.2654,0.5824,0.7106
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,9,0.2607,0.588,0.7154
efficientnet_b1,unet_efficientnet_b1,96,adam,4,3e-05,focal_dice,0.25,2.0,True,cosine,5,lr,3e-05,10,0.2586,0.5877,0.7152
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,1,0.3384,0.4564,0.6011
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,2,0.3188,0.4552,0.5995
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,3,0.3094,0.4638,0.6076
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,4,0.2938,0.4907,0.6325
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,5,0.2767,0.5301,0.6656
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,6,0.2606,0.5563,0.6872
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,7,0.2488,0.5716,0.7021
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,8,0.2411,0.6002,0.7296
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,9,0.2351,0.6278,0.7522
efficientnet_b1,unet_efficientnet_b1,96,adam,4,5e-05,focal_dice,0.25,2.0,True,cosine,5,lr,5e-05,10,0.2308,0.6302,0.7556
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,1,0.3309,0.4626,0.6072
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,2,0.3145,0.4778,0.6214
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,3,0.3053,0.4942,0.6362
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,4,0.2913,0.5295,0.6662
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,5,0.2803,0.5522,0.6863
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,6,0.2689,0.5906,0.7216
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,7,0.2588,0.644,0.7666
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,8,0.2487,0.6693,0.788
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,9,0.2439,0.7027,0.8116
efficientnet_b1,unet_efficientnet_b1,96,adam,4,8e-05,focal_dice,0.25,2.0,True,cosine,5,lr,8e-05,10,0.2397,0.6822,0.7977
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,1,0.3202,0.5288,0.6675
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,2,0.2885,0.5294,0.6674
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,3,0.2774,0.54,0.6752
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,4,0.266,0.5742,0.7032
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,5,0.2542,0.5937,0.7222
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,6,0.2343,0.6705,0.7872
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,7,0.2208,0.7116,0.819
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,8,0.2098,0.7167,0.8229
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,9,0.2042,0.7206,0.8256
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0001,focal_dice,0.25,2.0,True,cosine,5,lr,0.0001,10,0.1995,0.7258,0.8298
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,1,0.3123,0.4942,0.6359
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,2,0.2757,0.5109,0.6499
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,3,0.2639,0.5607,0.6904
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,4,0.251,0.5765,0.7061
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,5,0.2346,0.6692,0.7875
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,6,0.2174,0.7096,0.8164
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,7,0.2057,0.7149,0.8213
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,8,0.1973,0.7306,0.8329
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,9,0.1891,0.7254,0.8296
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.00015,focal_dice,0.25,2.0,True,cosine,5,lr,0.00015,10,0.1874,0.732,0.8346
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,1,0.2882,0.5405,0.6751
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,2,0.251,0.5723,0.7014
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,3,0.2399,0.5761,0.7073
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,4,0.2231,0.6713,0.7878
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,5,0.2077,0.6824,0.7978
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,6,0.1915,0.7189,0.824
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,7,0.1756,0.7228,0.827
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,8,0.1684,0.7223,0.8261
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,9,0.16,0.7303,0.8319
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0002,focal_dice,0.25,2.0,True,cosine,5,lr,0.0002,10,0.1585,0.7382,0.8371
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,1,0.291,0.5175,0.6561
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,2,0.2601,0.5366,0.6727
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,3,0.2522,0.6036,0.7309
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,4,0.2375,0.6929,0.8044
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,5,0.2222,0.678,0.7961
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,6,0.2044,0.7154,0.8225
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.0003,focal_dice,0.25,2.0,True,cosine,5,lr,0.0003,7,0.1903,0.7245,0.8277
