encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,1,0.2785,0.5468,0.6875
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,2,0.2289,0.6424,0.769
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,3,0.2179,0.6563,0.7787
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,4,0.2018,0.6913,0.8056
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,5,0.1895,0.6656,0.7873
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,6,0.1763,0.6178,0.746
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,7,0.1621,0.7133,0.8166
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,8,0.1476,0.691,0.8033
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,9,0.133,0.742,0.8402
efficientnet_b1,unet_efficientnet_b1,96,adamw,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adamw,10,0.1258,0.7265,0.8256
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,1,0.2647,0.5973,0.7261
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,2,0.2153,0.6844,0.7958
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,3,0.2029,0.6578,0.7793
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,4,0.1876,0.6838,0.8009
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,5,0.175,0.6416,0.7677
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,6,0.1654,0.7154,0.8193
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,7,0.154,0.5742,0.7112
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,8,0.1354,0.7269,0.8249
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,9,0.1318,0.7503,0.8457
efficientnet_b1,unet_efficientnet_b1,96,adam,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,adam,10,0.1227,0.7326,0.83
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,1,0.3543,0.3182,0.4714
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,2,0.3397,0.3538,0.5085
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,3,0.3329,0.4108,0.5624
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,4,0.3242,0.4551,0.6014
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,5,0.3142,0.4861,0.6289
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,6,0.3014,0.4964,0.6379
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,7,0.29,0.502,0.6425
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,8,0.2825,0.5125,0.652
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,9,0.2766,0.5176,0.6561
efficientnet_b1,unet_efficientnet_b1,96,sgd,4,0.001,focal_dice,0.25,2.0,True,cosine,5,optimizer,sgd,10,0.2749,0.5249,0.6623
