encoder,model,base_c,optimizer,batch_size,lr,loss_type,focal_alpha,focal_gamma,use_scheduler,scheduler_type,warmup_epochs,target_param,param_value,epoch,train_loss,val_iou,val_dice
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,1,0.2156,0.5403,0.6665
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,2,0.1689,0.6909,0.8077
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,3,0.1495,0.7322,0.8357
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,4,0.1407,0.7315,0.8296
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,5,0.1311,0.7301,0.8288
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,6,0.1233,0.746,0.841
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,7,0.1146,0.5598,0.699
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,8,0.1141,0.7281,0.8291
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,9,0.0977,0.7252,0.8277
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,10,0.094,0.7442,0.8406
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,11,0.0843,0.7461,0.8437
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,12,0.0768,0.7281,0.8279
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,13,0.0733,0.7216,0.8237
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,14,0.0719,0.7291,0.8255
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,15,0.0699,0.7422,0.8372
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,16,0.0668,0.7319,0.8274
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,17,0.062,0.7599,0.8527
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,18,0.0588,0.7641,0.8529
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,19,0.0551,0.7749,0.8634
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,20,0.0526,0.7618,0.8509
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,21,0.0507,0.7583,0.8517
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,22,0.0508,0.7489,0.8416
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,23,0.0513,0.7594,0.8526
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,24,0.0483,0.7594,0.8526
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,25,0.0446,0.7557,0.8479
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,26,0.0421,0.7601,0.8528
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,27,0.0417,0.7569,0.8488
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,28,0.0406,0.7653,0.8562
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,29,0.037,0.7666,0.8573
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,30,0.0356,0.7664,0.8567
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,31,0.0354,0.7621,0.8527
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,32,0.034,0.7633,0.8537
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,33,0.034,0.7639,0.8542
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,34,0.0327,0.7589,0.8502
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,35,0.0322,0.7649,0.8554
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,36,0.0322,0.7626,0.8536
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,37,0.0322,0.7603,0.8514
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,38,0.0311,0.7587,0.8496
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,39,0.0307,0.7604,0.8511
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,40,40,0.0312,0.762,0.8531
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,1,0.2184,0.596,0.7281
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,2,0.1672,0.7256,0.8309
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,3,0.1515,0.7449,0.8407
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,4,0.137,0.6306,0.7455
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,5,0.1264,0.7321,0.8341
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,6,0.1168,0.7494,0.8433
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,7,0.1177,0.7421,0.8412
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,8,0.1072,0.7331,0.8363
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,9,0.0993,0.6634,0.7751
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,10,0.0919,0.7277,0.8332
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,11,0.0859,0.7303,0.8315
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,12,0.0853,0.6746,0.7918
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,13,0.0751,0.7511,0.8408
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,14,0.0696,0.7553,0.8513
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,15,0.0684,0.7391,0.8383
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,16,0.0628,0.7707,0.8595
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,17,0.0612,0.7488,0.8449
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,18,0.0592,0.7712,0.8592
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,19,0.0563,0.7703,0.8596
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,20,0.054,0.7624,0.8545
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,21,0.0529,0.7769,0.8644
resnet50,unet_resnet50,96,adamw,8,0.0003,focal_dice,0.25,2.0,True,cosine,5,epochs,60,22,0.0496,0.7795,0.866
