epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.2085,0.4815,0.6321,0.5782,0.5033,0.9571,0.6321,6e-05
2,0.1569,0.7245,0.8291,0.8663,0.7939,0.8819,0.8291,0.00012
3,0.1449,0.7314,0.8347,0.8672,0.7993,0.8867,0.8347,0.00018
4,0.1322,0.7657,0.8562,0.8954,0.8715,0.8533,0.8562,0.00024
5,0.1224,0.7271,0.8285,0.8706,0.8165,0.8551,0.8285,0.0003
6,0.1221,0.6854,0.7981,0.8501,0.8633,0.7668,0.7981,0.0003
7,0.1072,0.7679,0.8586,0.8889,0.8458,0.8848,0.8586,0.0003
8,0.0977,0.7392,0.8382,0.8773,0.8617,0.8304,0.8382,0.0003
9,0.0902,0.7489,0.8443,0.8867,0.878,0.8309,0.8443,0.000299
10,0.084,0.7556,0.8485,0.8826,0.8162,0.9003,0.8485,0.000299
11,0.081,0.7587,0.8497,0.8887,0.8466,0.8729,0.8497,0.000298
12,0.0751,0.7654,0.8547,0.8927,0.8503,0.8751,0.8547,0.000297
13,0.0705,0.7618,0.8528,0.887,0.8481,0.8754,0.8528,0.000296
14,0.0678,0.7621,0.8521,0.8888,0.8549,0.8674,0.8521,0.000295
15,0.0653,0.7744,0.863,0.8955,0.8362,0.9022,0.863,0.000293
16,0.0611,0.7614,0.8525,0.8916,0.8659,0.8523,0.8525,0.000292
17,0.0614,0.7458,0.8401,0.8906,0.8789,0.8168,0.8401,0.00029
18,0.0571,0.7729,0.8604,0.9003,0.8675,0.8656,0.8604,0.000288
19,0.0549,0.7793,0.8658,0.9018,0.8644,0.8776,0.8658,0.000286
20,0.0495,0.7729,0.8585,0.903,0.8986,0.8366,0.8585,0.000284
21,0.049,0.7785,0.8641,0.9022,0.8601,0.8772,0.8641,0.000282
22,0.0498,0.7414,0.8311,0.8924,0.9253,0.7808,0.8311,0.00028
23,0.0464,0.7613,0.854,0.888,0.84,0.883,0.854,0.000277
24,0.0453,0.7639,0.8536,0.8937,0.8542,0.8712,0.8536,0.000274
25,0.0471,0.7529,0.8476,0.8827,0.8203,0.8937,0.8476,0.000272
26,0.0432,0.7669,0.8553,0.8929,0.8536,0.8766,0.8553,0.000269
27,0.0407,0.7634,0.8508,0.8919,0.8573,0.8669,0.8508,0.000266
28,0.0367,0.7647,0.8525,0.8922,0.8714,0.8556,0.8525,0.000262
29,0.0342,0.7651,0.8519,0.8935,0.87,0.8566,0.8519,0.000259
30,0.0332,0.7664,0.8554,0.8923,0.8545,0.873,0.8554,0.000256
31,0.0332,0.7618,0.847,0.8931,0.8892,0.8345,0.847,0.000252
32,0.0322,0.7613,0.8515,0.8883,0.8376,0.8847,0.8515,0.000248
33,0.0301,0.7708,0.8569,0.8966,0.878,0.8557,0.8569,0.000245
34,0.0289,0.7698,0.8561,0.8965,0.8697,0.8614,0.8561,0.000241
35,0.0303,0.7587,0.8498,0.8878,0.8367,0.8831,0.8498,0.000237
36,0.0352,0.759,0.8519,0.8862,0.8323,0.8874,0.8519,0.000233
37,0.0326,0.7431,0.8418,0.8762,0.8165,0.8815,0.8418,0.000229
38,0.03,0.7653,0.8556,0.8924,0.8521,0.8717,0.8556,0.000224
39,0.0303,0.7719,0.8589,0.8972,0.8683,0.8633,0.8589,0.00022
40,0.0424,0.749,0.8414,0.8873,0.8474,0.8576,0.8414,0.000216
41,0.0355,0.7578,0.849,0.8841,0.8487,0.866,0.849,0.000211
42,0.0303,0.7452,0.8422,0.8744,0.8075,0.8957,0.8422,0.000207
43,0.0251,0.7634,0.8547,0.8889,0.8344,0.8859,0.8547,0.000202
44,0.0237,0.7683,0.8574,0.893,0.8553,0.8718,0.8574,0.000197
45,0.0223,0.7616,0.8536,0.8867,0.8314,0.8895,0.8536,0.000193
46,0.0217,0.7661,0.8559,0.891,0.8532,0.8713,0.8559,0.000188
47,0.0212,0.7683,0.8577,0.891,0.8468,0.8817,0.8577,0.000183
48,0.0203,0.7605,0.8528,0.8855,0.8326,0.8868,0.8528,0.000178
49,0.02,0.7674,0.8574,0.8898,0.8442,0.8835,0.8574,0.000174
50,0.0188,0.7688,0.8579,0.8918,0.8564,0.8727,0.8579,0.000169
51,0.0183,0.7699,0.859,0.8929,0.8489,0.8811,0.859,0.000164
52,0.0193,0.7643,0.8485,0.8918,0.8674,0.8573,0.8485,0.000159
53,0.0179,0.7688,0.8561,0.8927,0.853,0.8767,0.8561,0.000154
54,0.0177,0.7673,0.8564,0.8916,0.8496,0.8787,0.8564,0.000149
55,0.017,0.7701,0.857,0.8937,0.8563,0.8749,0.857,0.000144
56,0.0166,0.7678,0.8544,0.8917,0.855,0.8739,0.8544,0.000139
57,0.0196,0.7482,0.8357,0.8925,0.9207,0.791,0.8357,0.000134
58,0.0247,0.7366,0.8359,0.8699,0.8187,0.8737,0.8359,0.000129
59,0.0196,0.7163,0.8221,0.8556,0.7846,0.8908,0.8221,0.000125
60,0.019,0.7571,0.8487,0.8851,0.8467,0.869,0.8487,0.00012
61,0.0184,0.7461,0.8415,0.8786,0.8351,0.8686,0.8415,0.000115
62,0.0181,0.7546,0.8463,0.8837,0.8456,0.8682,0.8463,0.00011
63,0.0172,0.7511,0.8448,0.8814,0.8357,0.8745,0.8448,0.000106
64,0.0166,0.7528,0.8449,0.8818,0.8416,0.8701,0.8449,0.000101
65,0.0151,0.7601,0.851,0.8868,0.8507,0.8693,0.851,9.6e-05
66,0.015,0.7573,0.8494,0.8844,0.8422,0.8746,0.8494,9.2e-05
67,0.0148,0.7576,0.8495,0.8853,0.8431,0.8743,0.8495,8.7e-05
68,0.0141,0.7542,0.8468,0.8823,0.836,0.8782,0.8468,8.3e-05
69,0.0135,0.755,0.8477,0.8829,0.8337,0.8818,0.8477,7.9e-05
70,0.0133,0.7589,0.8506,0.8861,0.8431,0.8754,0.8506,7.4e-05
71,0.0132,0.7585,0.8502,0.8854,0.8408,0.8782,0.8502,7e-05
72,0.0135,0.757,0.8496,0.8843,0.836,0.8808,0.8496,6.6e-05
73,0.0133,0.758,0.8496,0.8855,0.8437,0.874,0.8496,6.2e-05
74,0.0127,0.7584,0.8498,0.8855,0.844,0.8742,0.8498,5.8e-05
75,0.0129,0.758,0.85,0.8852,0.8412,0.8767,0.85,5.5e-05
76,0.0121,0.7601,0.851,0.8866,0.8443,0.8759,0.851,5.1e-05
77,0.0122,0.7571,0.8491,0.8841,0.8415,0.8754,0.8491,4.7e-05
78,0.0122,0.7594,0.851,0.8864,0.8423,0.8771,0.851,4.4e-05
79,0.0123,0.7573,0.8494,0.885,0.8388,0.8789,0.8494,4.1e-05
80,0.012,0.7571,0.8494,0.8844,0.8375,0.8796,0.8494,3.7e-05
81,0.0116,0.7591,0.8511,0.8857,0.8379,0.8819,0.8511,3.4e-05
82,0.0121,0.7576,0.85,0.885,0.8373,0.8801,0.85,3.1e-05
83,0.0113,0.7604,0.8514,0.8869,0.8442,0.8763,0.8514,2.9e-05
84,0.0116,0.7604,0.8518,0.8866,0.8421,0.8786,0.8518,2.6e-05
85,0.0113,0.7602,0.8518,0.8868,0.8425,0.878,0.8518,2.3e-05
86,0.0113,0.7594,0.8511,0.8862,0.8428,0.8766,0.8511,2.1e-05
87,0.0117,0.7592,0.8503,0.8859,0.8422,0.877,0.8503,1.9e-05
88,0.0115,0.7575,0.8508,0.8848,0.8317,0.8858,0.8508,1.7e-05
89,0.0111,0.7592,0.851,0.8858,0.8383,0.8814,0.851,1.5e-05
90,0.0112,0.7585,0.8507,0.8854,0.8374,0.8811,0.8507,1.3e-05
91,0.0109,0.7593,0.8507,0.8862,0.8429,0.8766,0.8507,1.1e-05
92,0.0109,0.7585,0.8505,0.8853,0.8392,0.8792,0.8505,1e-05
93,0.0112,0.7572,0.8494,0.8847,0.8382,0.8788,0.8494,8e-06
94,0.0114,0.7615,0.8512,0.888,0.8515,0.8702,0.8512,7e-06
95,0.0117,0.7551,0.8492,0.8832,0.8259,0.8893,0.8492,6e-06
96,0.0109,0.7563,0.8493,0.8839,0.8335,0.8826,0.8493,5e-06
97,0.011,0.7563,0.8481,0.884,0.8433,0.8726,0.8481,4e-06
98,0.0109,0.7612,0.8515,0.8876,0.849,0.8722,0.8515,4e-06
99,0.011,0.7585,0.8508,0.8853,0.8379,0.8805,0.8508,3e-06
100,0.0112,0.757,0.8498,0.884,0.8352,0.8818,0.8498,3e-06
