epoch,train_loss,val_iou,val_dice,val_accuracy,val_precision,val_recall,val_f1,learning_rate
1,0.202,0.6171,0.7477,0.7728,0.6749,0.8929,0.7477,0.0002
2,0.164,0.6112,0.7413,0.7674,0.6597,0.9024,0.7413,0.0004
3,0.1535,0.6479,0.7594,0.8554,0.903,0.6936,0.7594,0.0006
4,0.147,0.6791,0.7897,0.8467,0.7766,0.8337,0.7897,0.0008
5,0.1501,0.6845,0.8,0.8299,0.7238,0.9226,0.8,0.001
6,0.1387,0.6788,0.7835,0.8428,0.7601,0.8459,0.7835,0.001
7,0.1336,0.6955,0.7979,0.8643,0.8163,0.8195,0.7979,0.001
8,0.1387,0.68,0.7941,0.83,0.7248,0.9124,0.7941,0.000999
9,0.1137,0.6402,0.7584,0.8225,0.784,0.7837,0.7584,0.000998
10,0.1024,0.7342,0.8339,0.8738,0.8034,0.8851,0.8339,0.000996
